Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,My Rating (%),Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Year Read,Years on List,Lit Publisher Flag,Genre/Commercial Publisher Flag,Critical Signal Proxy,Amazon Consumer Signal Proxy,Author Books Read,Author Avg Rating,Author Best Rating,Author Known Flag,Author 4+ Rate,Author 5★ Rate,Author Tier,Predicted 4+ Probability,Predicted 5★ Probability,Distinctiveness Score,Momentum Score,Repetition Risk,Critical_Reception,Crowd_Divergence,Master Decision Score,Suggested Bucket,User Action,User Notes,Decision Bucket %,Is_4Plus,Is_5Star,Key,Legacy Decision Score (Model 1 — do not reference),Legacy Tag-Adjusted Score (v4 — superseded),R1_Slow,R2_Repetitive,R3_VibeClash,R4_HighConcept,R5_Dense,R6_WeakWriting,R7_SeriesFatigue,P1_Distinctive,P2_Propulsive,P3_Emotional,P4_Clever,P5_Structure,P6_Voice,V1_Speculative,V2_Dark,V3_Romantic,V4_PlotDriven,V5_Atmospheric,V6_ShortOrStandalone,Risk_Score,Reward_Score,G0_Genre,G1_Subgenre
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,5,1,4.58,Scholastic Inc,Paperback,652,2006,2005,,2012-08-03 0:00:00,"r2-repetitive, p2-propulsive, p4-clever, p5-structure, p6-voice, v2-dark, v3-romantic, v4-plotdriven, v6-shortorstandalone, g0-fantasy, g1-portal-fantasy",,read,2,0,,13.64,0,1,0,3,7,5,5,1,1,1,2,0.9753676471,0.9362132353,2,2,0,2,0,100.00%,Strong Keep,,,0.95,1,1,"harry potter and the half-blood prince (harry potter, #6)|j.k. rowling",0.9963621324,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0.2,0.7,Fantasy,Portal Fantasy
10194157,"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,"Bardugo, Leigh",,1250048117,9781250048110,4,0.8,3.91,Henry Holt & Company,Hardcover,358,2012,2012,2021-04-18 0:00:00,2012-08-04 0:00:00,"p3-emotional, p4-clever, p5-structure, v2-dark, v3-romantic, v4-plotdriven, v5-atmospheric, g0-fantasy, g1-epic-fantasy",,read,1,0,2021,13.64,0,0,0,1,9,4.777777778,5,1,1,0.7777777778,2,0.6803676471,0.5891021242,2,2,0,1,1,100.00%,Strong Keep,,,0.85,1,0,"shadow and bone (shadow and bone, #1)|leigh bardugo",0.864048799,0.7441,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0.6,Fantasy,Epic Fantasy
29226553,"Dark Age (Red Rising Saga, #5)",Pierce Brown,"Brown, Pierce",,0425285952,9780425285954,4,0.8,4.51,Del Rey,ebook,704,2019,2019,2019-09-24 0:00:00,2019-08-31 0:00:00,"p2-propulsive, p3-emotional, p4-clever, p5-structure, p6-voice, v2-dark, v3-romantic, v4-plotdriven, v6-shortorstandalone, g0-science-fiction, g1-dystopian",,read,1,0,2019,6.57,0,1,0,3,5,4.6,5,1,1,0.6,2,0.9753676471,0.7362132353,2,2,1,1,0,100.00%,Strong Keep,,,0.95,1,0,"dark age (red rising saga, #5)|pierce brown",0.9903621324,0.8521,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0.2,0.7,Science Fiction,Dystopian
29363501,"Fantastic Beasts and Where to Find Them: The Original Screenplay (Fantastic Beasts: The Original Screenplay, #1)",J.K. Rowling,"Rowling, J.K.",,1338109065,9781338109061,0,,4.15,Arthur A. Levine Books,Hardcover,293,2016,2016,,2017-12-17 0:00:00,"strong-keep, r3-vibeclash, r6-weakwriting, p6-voice, v1-speculative, v2-dark, v3-romantic, g0-fantasy, g1-portal-fantasy",to-read (#122),to-read,0,0,,8.27,0,0,1,3,7,5,5,1,1,1,2,0.8003676471,0.7962132353,2,2,0,1,1,100.00%,Strong Keep,Strong Keep,,0.95,0,0,"fantastic beasts and where to find them: the original screenplay (fantastic beasts: the original screenplay, #1)|j.k. rowling",0.9799121324,0.8712,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0.08,0.35,Fantasy,Portal Fantasy
10079321,"The Magician King (The Magicians, #2)",Lev Grossman,"Grossman, Lev",,043402080X,9780434020805,5,1,3.93,William Heinemann,Paperback,432,2011,2011,,2012-08-03 0:00:00,"p3-emotional, p4-clever, p5-structure, p6-voice, v2-dark, v3-romantic, v4-plotdriven, v6-shortorstandalone, g0-fantasy, g1-portal-fantasy","favorites (#5), sitting-on-my-desk (#7)",read,1,0,,13.64,0,0,0,1,4,4.25,5,1,0.75,0.75,1,0.5903676471,0.5832132353,2,2,0,1,0,100.00%,Strong Keep,,,0.85,1,1,"the magician king (the magicians, #2)|lev grossman",0.8800721324,0.8132,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0.7,Fantasy,Portal Fantasy
101146072,The Square of Sevens,Laura Shepherd-Robinson,"Shepherd-Robinson, Laura",,1668031124,9781668031124,5,1,4.12,Atria Books,Hardcover,528,2023,2023,2025-05-25 0:00:00,2025-05-19 0:00:00,"p3-emotional, p4-clever, p5-structure, p6-voice, v2-dark, v4-plotdriven, v6-shortorstandalone, g0-historical-fiction, g1-literary-historical",,read,1,0,2025,0.85,0,1,0,3,1,5,5,1,1,1,0,0.6601029412,0.5555330882,2,2,0,1,1,100.00%,Strong Keep,,,0.95,1,1,the square of sevens|laura shepherd-robinson,0.9628731985,0.6305,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0.7,Historical Fiction,Literary Historical
10439597,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)",Douglas Adams,"Adams, Douglas",,3320258648,9783320258641,5,1,4.22,Pan Books,Mass Market Paperback,159,1979,1979,,2012-08-03 0:00:00,"r2-repetitive, p3-emotional, p4-clever, p6-voice, v2-dark, v3-romantic, g0-science-fiction, g1-space-opera",,read,1,0,,13.64,0,0,2,3,5,5,5,1,1,1,2,0.8353676471,0.8242132353,2,2,0,2,1,100.00%,Strong Keep,,,0.95,1,1,"the hitchhiker's guide to the galaxy (hitchhiker's guide, #1)|douglas adams",0.9832021324,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0.45,Science Fiction,Space Opera
10439703,"Aloha from Hell (Sandman Slim, #3)",Richard Kadrey,"Kadrey, Richard",,0061714321,9780061714320,5,1,4.03,Harper Voyager,Hardcover,438,2011,2011,,2012-08-03 0:00:00,"p3-emotional, p4-clever, p5-structure, p6-voice, v2-dark, v3-romantic, v4-plotdriven, v6-shortorstandalone, g0-fantasy, g1-urban-fantasy",,read,1,0,,13.64,0,1,0,2,6,4.5,5,1,0.8333333333,0.6666666667,2,0.6737009804,0.5815465686,2,2,0,0,0,100.00%,Strong Keep,,,0.95,1,1,"aloha from hell (sandman slim, #3)|richard kadrey",0.9646054657,0.6865,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0.7,Fantasy,Urban Fantasy
10644930,1963-11-22 0:00:00,Stephen  King,"King, Stephen",,1451627289,9781451627282,5,1,4.35,Scribner,Hardcover,849,2011,2011,2014-01-28 0:00:00,2013-01-22 0:00:00,"r7-seriesfatigue, p3-emotional, p4-clever, p5-structure, p6-voice, v2-dark, v3-romantic, v4-plotdriven, v6-shortorstandalone, g0-science-fiction, g1-speculative",,read,1,0,2014,13.17,1,0,3,2,2,5,5,1,1,1,2,0.9003676471,0.8762132353,2,2,0,2,1,100.00%,Strong Keep,,,0.95,1,1,11/22/63|stephen king,0.9893121324,0.9608,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0.05,0.7,Science Fiction,Speculative
6320534,Under the Dome,Stephen  King,"King, Stephen",,1439148503,9781439148501,0,,3.93,Scribner,Hardcover,1074,2009,2009,,2013-01-22 0:00:00,"strong-keep, r3-vibeclash, r6-weakwriting, p3-emotional, p4-clever, p5-structure, v2-dark, v3-romantic, v4-plotdriven, v6-shortorstandalone, g0-science-fiction, g1-speculative",to-read (#43),to-read,0,0,,13.17,1,0,2,0,2,5,5,1,1,1,2,0.6903676471,0.7082132353,2,1,0,1,1,100.00%,Strong Keep,Strong Keep,,0.85,0,0,under the dome|stephen king,0.8908221324,0.619,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0.08,0.6,Science Fiction,Speculative
